City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,makurdi,7.7411,8.5121,22.92,91,32,0.48,NG,2024-06-11
1,port-aux-francais,-49.35,70.2167,1.68,65,89,17.1,TF,2024-06-11
2,pangody,65.85,74.4859,9.0,78,67,3.8,RU,2024-06-11
3,bokoro,12.3807,17.0568,30.33,51,94,3.33,TD,2024-06-11
4,yeniseysk,58.4497,92.1703,13.3,79,17,1.34,RU,2024-06-11
5,grytviken,-54.2811,-36.5092,-9.32,76,16,5.53,GS,2024-06-11
6,waitangi,-43.9535,-176.5597,10.46,80,3,2.68,NZ,2024-06-11
7,yanbu,24.0891,38.0637,28.02,78,0,1.54,SA,2024-06-11
8,vilyuchinsk,52.9306,158.4028,9.15,91,100,1.65,RU,2024-06-11
9,hadibu,12.65,54.0333,27.73,77,100,6.43,YE,2024-06-11
10,recani,31.2846,-4.2688,24.88,39,0,8.73,MA,2024-06-11
11,adamstown,-25.066,-130.1015,21.62,88,95,8.09,PN,2024-06-11
12,whitehorse,60.7161,-135.0538,16.56,36,75,4.12,CA,2024-06-11
13,edinburgh of the seven seas,-37.0676,-12.3116,15.1,88,71,15.0,SH,2024-06-11
14,bani walid,31.7566,13.9942,34.67,15,57,2.92,LY,2024-06-11
15,stanley,54.868,-1.6985,7.93,95,75,0.0,GB,2024-06-11
16,kodiak,57.79,-152.4072,8.73,81,100,4.63,US,2024-06-11
17,taltal,-25.4,-70.4833,16.16,81,31,1.04,CL,2024-06-11
18,burang,30.25,81.1667,4.05,60,0,1.09,CN,2024-06-11
19,axim,4.8699,-2.2405,25.43,83,84,3.08,GH,2024-06-11
20,hotan,37.0997,79.9269,23.97,29,99,1.22,CN,2024-06-11
21,ilulissat,69.2167,-51.1,4.01,93,100,2.06,GL,2024-06-11
22,lihue,21.9789,-159.3672,30.58,67,40,5.14,US,2024-06-11
23,avarua,-21.2078,-159.775,25.03,53,75,8.23,CK,2024-06-11
24,ushuaia,-54.8,-68.3,-3.19,74,0,2.06,AR,2024-06-11
25,papatowai,-46.5619,169.4708,5.43,70,100,3.42,NZ,2024-06-11
26,kapa'a,22.0752,-159.319,30.99,74,40,5.14,US,2024-06-11
27,neijiang,29.5835,105.0622,21.2,88,97,1.35,CN,2024-06-11
28,al jubayl,27.0112,49.6583,30.72,74,0,3.42,SA,2024-06-11
29,igarka,67.4667,86.5833,11.68,88,100,5.36,RU,2024-06-11
30,san angelo,31.4638,-100.437,31.97,50,40,4.02,US,2024-06-11
31,olonkinbyen,70.9221,-8.7187,-1.18,83,14,0.92,SJ,2024-06-11
32,atafu village,-8.5421,-172.5159,28.54,76,87,3.07,TK,2024-06-11
33,praia da vitoria,38.7333,-27.0667,20.14,77,40,0.4,PT,2024-06-11
34,georgetown,5.4112,100.3354,28.3,86,20,2.06,MY,2024-06-11
35,margaret river,-33.95,115.0667,12.2,82,0,1.7,AU,2024-06-11
36,blackmans bay,-43.0167,147.3167,5.41,82,46,1.79,AU,2024-06-11
37,flying fish cove,-10.4217,105.6791,25.82,94,100,4.63,CX,2024-06-11
38,llerena,38.2354,-6.0739,18.01,64,56,2.79,ES,2024-06-11
39,bikenibeu village,1.3673,173.1241,30.98,70,40,4.12,KI,2024-06-11
40,bandundu,-3.3167,17.3667,23.97,39,62,0.34,CD,2024-06-11
41,ust-nera,64.5667,143.2,14.83,43,45,1.57,RU,2024-06-11
42,istgah-e rah ahan-e garmsar,35.2346,52.3094,29.8,20,19,2.56,IR,2024-06-11
43,masterton,-40.9597,175.6575,11.6,68,52,0.86,NZ,2024-06-11
44,west island,-12.1568,96.8225,26.99,89,75,6.17,CC,2024-06-11
45,luau,-10.7073,22.2247,13.42,52,17,2.16,AO,2024-06-11
46,anadyr,64.75,177.4833,11.28,66,0,4.0,RU,2024-06-11
47,broken hill,-31.95,141.4333,11.42,81,3,5.84,AU,2024-06-11
48,colonia,50.9333,6.95,11.09,79,20,2.57,DE,2024-06-11
49,puerto natales,-51.7236,-72.4875,-1.95,93,29,1.62,CL,2024-06-11
50,nevinnomyssk,44.6267,41.9453,16.77,90,0,2.75,RU,2024-06-11
51,anzio,41.4853,12.6179,22.14,84,92,4.38,IT,2024-06-11
52,bonthe,7.5264,-12.505,27.05,83,60,3.66,SL,2024-06-11
53,longyearbyen,78.2186,15.6401,1.91,93,75,2.57,SJ,2024-06-11
54,veraval,20.9,70.3667,29.07,76,41,5.67,IN,2024-06-11
55,blenheim,-41.516,173.9528,7.51,85,7,0.45,NZ,2024-06-11
56,namibe,-15.1961,12.1522,20.46,76,1,0.3,AO,2024-06-11
57,hammerfest,70.6634,23.6821,10.25,87,75,3.09,NO,2024-06-11
58,zuwarah,32.9312,12.082,27.7,57,42,2.69,LY,2024-06-11
59,udachny,66.4167,112.4,16.92,45,91,4.03,RU,2024-06-11
60,tabou,4.423,-7.3528,26.04,84,100,4.43,CI,2024-06-11
61,speightstown,13.25,-59.65,28.34,76,75,7.89,BB,2024-06-11
62,garoua,9.3,13.4,24.97,74,26,1.42,CM,2024-06-11
63,nguigmi,14.2495,13.1092,27.25,57,11,4.16,NE,2024-06-11
64,nova sintra,14.8667,-24.7167,23.72,85,20,7.15,CV,2024-06-11
65,alofi,-19.0595,-169.9187,25.94,83,75,6.17,NU,2024-06-11
66,port shepstone,-30.7414,30.455,15.65,54,67,2.65,ZA,2024-06-11
67,garagoa,5.0824,-73.3633,17.41,96,95,0.46,CO,2024-06-11
68,yinchuan,38.4681,106.2731,27.17,21,7,2.03,CN,2024-06-11
69,urengoy,65.9667,78.3667,7.45,76,24,1.17,RU,2024-06-11
70,thompson,55.7435,-97.8558,15.09,82,100,1.03,CA,2024-06-11
71,muroto-misakicho,33.2833,134.15,22.01,84,100,3.74,JP,2024-06-11
72,weno,7.4515,151.8468,28.97,79,40,3.6,FM,2024-06-11
73,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,90,75,4.47,RU,2024-06-11
74,albany,42.6001,-73.9662,19.46,69,90,2.09,US,2024-06-11
75,isafjordur,66.0755,-23.124,8.85,63,64,0.95,IS,2024-06-11
76,yellowknife,62.456,-114.3525,16.29,48,75,4.63,CA,2024-06-11
77,elliot lake,46.3834,-82.6331,16.39,40,99,2.67,CA,2024-06-11
78,aykhal,66.0,111.5,18.06,46,66,2.16,RU,2024-06-11
79,port hedland,-20.3167,118.5667,15.03,58,0,4.12,AU,2024-06-11
80,hermanus,-34.4187,19.2345,17.11,80,41,11.65,ZA,2024-06-11
81,paramonga,-10.6667,-77.8333,18.74,81,75,2.55,PE,2024-06-11
82,remire-montjoly,4.9167,-52.2667,27.02,89,0,1.54,GF,2024-06-11
83,emerald,-23.5333,148.1667,19.24,33,0,2.44,AU,2024-06-11
84,wenling,28.3669,121.36,23.54,97,96,1.19,CN,2024-06-11
85,klyuchi,52.2667,79.1667,14.28,86,91,3.58,RU,2024-06-11
86,talnakh,69.4865,88.3972,5.11,96,100,3.48,RU,2024-06-11
87,haiku-pauwela,20.9219,-156.3051,28.43,71,0,11.83,US,2024-06-11
88,itaituba,-4.2761,-55.9836,27.44,72,68,0.77,BR,2024-06-11
89,portland,45.5234,-122.6762,24.73,46,75,5.66,US,2024-06-11
90,hasaki,35.7333,140.8333,25.16,80,95,4.97,JP,2024-06-11
91,fort bragg,35.139,-79.006,28.91,46,0,2.06,US,2024-06-11
92,constantia,44.1833,28.65,24.38,72,57,3.53,RO,2024-06-11
93,cabo san lucas,22.8909,-109.9124,33.12,46,5,5.33,MX,2024-06-11
94,harper,4.375,-7.7169,26.18,83,100,4.59,LR,2024-06-11
95,yanam,16.7333,82.2167,27.43,82,91,2.69,IN,2024-06-11
96,saipan,15.1355,145.701,29.39,84,40,3.6,MP,2024-06-11
97,tiksi,71.6872,128.8694,2.25,80,43,1.16,RU,2024-06-11
98,sitka,57.0531,-135.33,10.32,80,100,2.92,US,2024-06-11
99,egilsstadir,65.2653,-14.3948,4.95,87,0,5.14,IS,2024-06-11
100,bethel,41.3712,-73.414,21.63,66,96,0.45,US,2024-06-11
101,karratha,-20.7377,116.8463,18.46,54,0,1.97,AU,2024-06-11
102,iqaluit,63.7506,-68.5145,1.85,87,75,1.54,CA,2024-06-11
103,waddan,29.1614,16.139,34.06,10,0,5.52,LY,2024-06-11
104,hawaiian paradise park,19.5933,-154.9731,27.73,72,0,5.14,US,2024-06-11
105,yarmouth,41.7057,-70.2286,21.0,74,75,2.57,US,2024-06-11
106,geraldton,-28.7667,114.6,16.23,94,75,1.54,AU,2024-06-11
107,lubango,-14.9172,13.4925,14.92,47,0,3.09,AO,2024-06-11
108,guerrero negro,27.9769,-114.0611,20.51,62,0,9.59,MX,2024-06-11
109,feicheng,35.2606,117.9675,24.87,72,44,2.38,CN,2024-06-11
110,gweru,-19.45,29.8167,7.13,80,4,3.53,ZW,2024-06-11
111,new norfolk,-42.7826,147.0587,6.07,84,71,2.19,AU,2024-06-11
112,rongelap,11.1635,166.8941,28.15,81,22,8.46,MH,2024-06-11
113,tura,25.5198,90.2201,24.3,97,55,1.87,IN,2024-06-11
114,palikir - national government center,6.9248,158.1611,28.47,84,100,5.14,FM,2024-06-11
115,morrope,-6.5417,-80.0111,21.06,76,88,6.98,PE,2024-06-11
116,aasiaat,68.7098,-52.8699,1.14,90,100,1.84,GL,2024-06-11
117,east london,-33.0153,27.9116,20.88,31,100,4.08,ZA,2024-06-11
118,glazov,58.1394,52.6584,20.46,80,100,5.98,RU,2024-06-11
119,pecanha,-18.5486,-42.5569,17.0,71,0,1.94,BR,2024-06-11
120,tual,-5.6667,132.75,26.63,82,100,8.99,ID,2024-06-11
121,tshabong,-26.05,22.45,11.21,36,37,6.36,BW,2024-06-11
122,invercargill,-46.4,168.35,3.34,80,100,2.68,NZ,2024-06-11
123,mogocha,53.7333,119.7667,16.22,54,78,0.82,RU,2024-06-11
124,alice springs,-23.7,133.8833,8.75,81,0,2.57,AU,2024-06-11
125,punta arenas,-53.15,-70.9167,0.06,100,100,5.14,CL,2024-06-11
126,sao joao da barra,-21.6403,-41.0511,20.05,81,19,2.98,BR,2024-06-11
127,safford,32.834,-109.7076,39.86,8,0,4.63,US,2024-06-11
128,wailua homesteads,22.0669,-159.378,30.24,74,40,5.14,US,2024-06-11
129,arraial do cabo,-22.9661,-42.0278,17.98,88,0,0.0,BR,2024-06-11
130,la'ie,21.6477,-157.9253,28.98,77,52,4.47,US,2024-06-11
131,macapa,0.0389,-51.0664,26.99,89,100,1.03,BR,2024-06-11
132,alaghsas,17.0187,8.0168,28.13,48,81,2.88,NE,2024-06-11
133,galveston,29.3669,-94.9669,33.38,68,0,2.06,US,2024-06-11
134,holualoa,19.6228,-155.9522,28.08,76,40,4.63,US,2024-06-11
135,lebu,-37.6167,-73.65,12.77,92,100,8.1,CL,2024-06-11
136,capelinha,-17.6914,-42.5158,14.28,73,2,2.17,BR,2024-06-11
137,kingston,17.997,-76.7936,32.53,62,20,9.77,JM,2024-06-11
138,lazaro cardenas,17.9583,-102.2,28.37,71,98,3.89,MX,2024-06-11
139,puerto armuelles,8.2833,-82.8667,27.99,72,100,1.79,PA,2024-06-11
140,vadso,70.0744,29.7487,5.49,93,100,5.14,NO,2024-06-11
141,qaqortoq,60.7167,-46.0333,2.16,98,100,2.51,GL,2024-06-11
142,ilhabela,-23.7781,-45.3581,21.55,83,0,0.68,BR,2024-06-11
143,marsa alam,25.0757,34.8918,30.81,30,0,3.36,EG,2024-06-11
144,fortuna,40.5982,-124.1573,19.96,79,40,7.2,US,2024-06-11
145,tarnogskiy gorodok,60.4997,43.5761,14.74,98,99,1.23,RU,2024-06-11
146,san luis de la loma,17.2706,-100.8939,29.5,65,94,3.29,MX,2024-06-11
147,vorgashor,67.5833,63.95,5.45,69,50,3.51,RU,2024-06-11
148,jamestown,42.097,-79.2353,15.77,79,100,3.09,US,2024-06-11
149,college,64.8569,-147.8028,21.99,61,75,3.6,US,2024-06-11
150,toliara,-23.35,43.6667,19.15,77,0,6.79,MG,2024-06-11
151,port mathurin,-19.6833,63.4167,24.16,74,73,8.89,MU,2024-06-11
152,trail,49.0998,-117.7022,29.27,25,37,6.49,CA,2024-06-11
153,zag,46.9441,99.165,12.9,60,56,1.1,MN,2024-06-11
154,bilibino,68.0546,166.4372,16.77,37,69,2.58,RU,2024-06-11
155,sidi salim,31.271,30.7867,23.41,71,0,2.73,EG,2024-06-11
156,nanzhou,29.3596,112.4024,24.45,89,91,2.11,CN,2024-06-11
157,kapuskasing,49.4169,-82.4331,24.0,23,75,4.63,CA,2024-06-11
158,el calafate,-50.3408,-72.2768,0.35,77,82,0.72,AR,2024-06-11
159,yuzhno-kurilsk,44.0306,145.8556,11.88,99,97,2.13,RU,2024-06-11
160,kone,-21.0595,164.8658,23.52,55,8,1.66,NC,2024-06-11
161,pavlovsk,50.4578,40.1081,22.74,62,38,2.25,RU,2024-06-11
162,cartagena,10.3997,-75.5144,30.79,74,40,3.6,CO,2024-06-11
163,kolonia town,6.964,158.206,29.06,84,100,5.14,FM,2024-06-11
164,nouadhibou,20.931,-17.0347,22.99,64,5,9.77,MR,2024-06-11
165,ancud,-41.8697,-73.8203,11.73,90,93,4.52,CL,2024-06-11
166,tazovsky,67.4667,78.7,3.34,74,72,0.71,RU,2024-06-11
167,mata-utu,-13.2816,-176.1745,27.66,77,23,5.05,WF,2024-06-11
168,port alfred,-33.5906,26.891,21.77,39,82,2.24,ZA,2024-06-11
169,iskateley,67.6803,53.1512,6.68,90,78,3.58,RU,2024-06-11
170,kavieng,-2.5744,150.7967,27.34,85,99,7.68,PG,2024-06-11
171,mogadishu,2.0371,45.3438,25.76,80,89,7.11,SO,2024-06-11
172,dattapur,20.7667,78.1667,32.84,48,100,4.3,IN,2024-06-11
173,goba,7.0167,39.9833,10.97,92,94,1.68,ET,2024-06-11
174,talara,-4.5772,-81.2719,25.42,65,0,5.68,PE,2024-06-11
175,hithadhoo,-0.6,73.0833,28.31,75,93,3.23,MV,2024-06-11
176,bredasdorp,-34.5322,20.0403,14.8,73,29,8.14,ZA,2024-06-11
177,crucecita,-28.95,-58.9833,22.76,72,54,3.19,AR,2024-06-11
178,khvoynaya,58.9,34.5333,12.16,96,71,1.53,RU,2024-06-11
179,nuku'alofa,-21.1333,-175.2,25.19,78,75,6.69,TO,2024-06-11
180,sretensk,52.2453,117.7093,14.72,63,100,2.25,RU,2024-06-11
181,el paujil,1.5701,-75.3286,21.49,96,78,1.26,CO,2024-06-11
182,chonchi,-42.6128,-73.8092,11.56,98,28,1.12,CL,2024-06-11
183,sinton,28.0367,-97.5092,35.66,47,6,7.6,US,2024-06-11
184,grand gaube,-20.0064,57.6608,24.1,78,46,4.02,MU,2024-06-11
185,hamilton,39.1834,-84.5333,25.43,41,0,2.06,US,2024-06-11
186,ban houakhoua,20.2453,100.4547,23.28,99,100,0.33,LA,2024-06-11
187,saint-pierre,-21.3393,55.4781,22.82,78,100,2.06,RE,2024-06-11
188,sandnessjoen,66.0217,12.6316,8.29,78,100,5.45,NO,2024-06-11
189,ribeira grande,38.5167,-28.7,18.21,84,54,2.24,PT,2024-06-11
190,coquimbo,-29.9533,-71.3436,11.85,100,100,3.09,CL,2024-06-11
191,pocone,-16.2567,-56.6228,25.69,34,17,0.92,BR,2024-06-11
192,horta,38.5333,-28.6333,17.79,84,63,2.24,PT,2024-06-11
193,as sulayyil,20.4607,45.5779,33.14,14,1,3.28,SA,2024-06-11
194,meulaboh,4.1363,96.1285,25.42,90,100,2.15,ID,2024-06-11
195,saint-joseph,-21.3667,55.6167,22.21,86,100,5.1,RE,2024-06-11
196,kota bharu,6.1333,102.2386,25.97,89,20,1.03,MY,2024-06-11
197,akureyri,65.6835,-18.0878,5.96,93,75,5.14,IS,2024-06-11
198,zwedru,6.0667,-8.1281,22.73,99,100,1.75,LR,2024-06-11
199,siguiri,11.6667,-9.5,28.83,58,82,0.8,GN,2024-06-11
200,laguna,38.421,-121.4238,40.19,29,0,3.6,US,2024-06-11
201,jaszbereny,47.5,19.9167,17.94,86,41,0.45,HU,2024-06-11
202,port augusta,-32.5,137.7667,12.93,89,33,1.06,AU,2024-06-11
203,sinnar,13.5691,33.5672,30.17,53,98,4.25,SD,2024-06-11
204,al bardiyah,31.7561,25.0865,25.01,49,0,1.42,LY,2024-06-11
205,jolo,6.05,121.0167,27.05,80,100,0.4,PH,2024-06-11
206,grand falls-windsor,48.9332,-55.6649,16.95,92,50,1.58,CA,2024-06-11
207,yendi,9.4427,-0.0099,27.1,71,40,2.21,GH,2024-06-11
208,sisimiut,66.9395,-53.6735,3.95,98,100,1.27,GL,2024-06-11
209,dul'durga,50.6761,113.5931,13.76,77,90,3.03,RU,2024-06-11
210,rio grande,-32.035,-52.0986,18.06,92,100,6.2,BR,2024-06-11
211,ghat,24.9647,10.1728,33.35,8,0,2.2,LY,2024-06-11
212,island harbour,50.724,-1.2758,12.78,72,82,2.24,GB,2024-06-11
213,aral,40.5156,81.2636,25.47,29,58,2.73,CN,2024-06-11
214,mount pleasant,32.7941,-79.8626,29.43,71,0,4.12,US,2024-06-11
215,callaway,30.153,-85.5699,34.39,47,40,3.09,US,2024-06-11
216,carbondale,37.7273,-89.2168,26.0,33,0,2.06,US,2024-06-11
217,dudinka,69.4058,86.1778,5.38,85,100,4.92,RU,2024-06-11
218,carnarvon,-24.8667,113.6333,19.25,88,100,3.13,AU,2024-06-11
219,brak,27.5496,14.2714,33.26,12,0,2.5,LY,2024-06-11
220,kattivakkam,13.2167,80.3167,29.05,91,100,4.38,IN,2024-06-11
221,afaahiti,-17.75,-149.2833,27.93,66,50,8.46,PF,2024-06-11
222,darwin,-12.4611,130.8418,21.08,87,0,3.6,AU,2024-06-11
223,harstad,68.799,16.5293,10.66,97,72,1.34,NO,2024-06-11
224,huarmey,-10.0681,-78.1522,19.35,80,48,3.03,PE,2024-06-11
225,tarawa,1.419,172.984,31.05,70,40,4.12,KI,2024-06-11
226,kununurra,-15.7667,128.7333,13.99,94,51,0.0,AU,2024-06-11
227,preobrazheniye,42.9019,133.9064,18.34,88,92,2.5,RU,2024-06-11
228,taupo,-38.6833,176.0833,8.57,68,5,1.38,NZ,2024-06-11
229,port lincoln,-34.7333,135.8667,14.2,83,66,4.15,AU,2024-06-11
230,puerto ayora,-0.7393,-90.3518,27.98,95,97,1.34,EC,2024-06-11
231,liezen,47.5667,14.2333,8.68,99,100,1.36,AT,2024-06-11
232,quepos,9.4236,-84.1652,26.8,85,100,0.71,CR,2024-06-11
233,keningau,5.3378,116.1602,22.3,98,97,0.4,MY,2024-06-11
234,pul-e khumri,35.9446,68.7151,27.23,23,0,1.85,AF,2024-06-11
235,moengo,5.6167,-54.4,22.77,100,100,0.94,SR,2024-06-11
236,umba,66.6871,34.3429,6.22,98,87,2.71,RU,2024-06-11
237,lesnoy,57.6198,63.0784,13.67,80,58,2.58,RU,2024-06-11
238,fuerte olimpo,-21.0415,-57.8738,26.76,37,0,2.79,PY,2024-06-11
239,murzuq,25.9155,13.9184,32.17,12,0,1.7,LY,2024-06-11
240,lerwick,60.1545,-1.1494,8.0,73,100,8.01,GB,2024-06-11
241,kruisfontein,-34.0033,24.7314,20.49,30,53,7.98,ZA,2024-06-11
242,waiuku,-37.25,174.75,13.94,92,60,2.01,NZ,2024-06-11
243,westport,41.1415,-73.3579,22.75,62,75,2.57,US,2024-06-11
244,lorengau,-2.0226,147.2712,28.54,78,100,1.31,PG,2024-06-11
245,labrador city,52.9463,-66.9114,20.1,24,40,1.03,CA,2024-06-11
246,juneau,58.3019,-134.4197,17.0,100,20,5.66,US,2024-06-11
247,kanpur,26.4667,80.35,34.26,26,74,2.73,IN,2024-06-11
248,selfoss,63.9331,-20.9971,8.91,90,8,2.41,IS,2024-06-11
249,le port,-20.9373,55.2919,23.0,82,100,3.0,RE,2024-06-11
250,porto velho,-8.7619,-63.9039,28.03,74,40,0.51,BR,2024-06-11
251,puerto baquerizo moreno,-0.9,-89.6,24.55,73,20,8.23,EC,2024-06-11
252,enterprise,36.0252,-115.2419,41.76,10,0,3.09,US,2024-06-11
253,pemangkat,1.1667,108.9667,26.0,87,91,1.82,ID,2024-06-11
254,dryden,49.7833,-92.7503,13.16,88,100,6.17,CA,2024-06-11
255,houlton,46.1262,-67.8403,22.62,73,100,1.54,US,2024-06-11
256,cajazeiras,-6.8903,-38.5553,29.07,43,70,4.41,BR,2024-06-11
257,severnoye,56.3491,78.3619,15.55,91,100,5.81,RU,2024-06-11
258,kerikeri,-35.2268,173.9474,14.39,80,1,1.34,NZ,2024-06-11
259,ulsteinvik,62.3432,5.8487,9.06,84,100,4.47,NO,2024-06-11
260,adrar,20.5022,-10.0711,31.55,19,5,5.76,MR,2024-06-11
261,ola,59.5833,151.2833,10.08,60,92,2.2,RU,2024-06-11
262,rokiskis,55.9667,25.5833,9.42,95,46,3.51,LT,2024-06-11
263,beau vallon,-20.4189,57.6953,24.01,78,20,7.2,MU,2024-06-11
264,ronne,55.1009,14.7066,12.95,82,75,7.72,DK,2024-06-11
265,zouerate,22.7187,-12.4521,28.56,25,10,5.72,MR,2024-06-11
266,inhambane,-23.865,35.3833,20.36,63,78,2.26,MZ,2024-06-11
267,opuwo,-18.0607,13.84,16.37,41,0,3.69,NA,2024-06-11
268,bandarbeyla,9.4942,50.8122,26.13,79,96,10.7,SO,2024-06-11
269,taro,-8.3862,115.28,22.0,100,87,0.66,ID,2024-06-11
270,enewetak,11.3474,162.3373,28.18,80,95,9.09,MH,2024-06-11
271,gadzhiyevo,69.2551,33.3362,6.12,96,85,3.33,RU,2024-06-11
272,usogorsk,63.4106,48.6872,14.26,99,89,1.5,RU,2024-06-11
273,bonchamp-les-laval,48.0736,-0.7,10.06,81,0,1.54,FR,2024-06-11
274,florence,43.7667,11.25,20.03,70,40,3.09,IT,2024-06-11
275,gueugnon,46.6036,4.0629,11.07,82,86,1.61,FR,2024-06-11
276,soligalich,59.0778,42.2864,17.6,99,100,1.25,RU,2024-06-11
277,weesp,52.3075,5.0417,11.14,92,20,2.24,NL,2024-06-11
278,gamboma,-1.8764,15.8644,24.04,44,62,1.1,CG,2024-06-11
279,copala,16.65,-98.9833,28.97,68,56,3.55,MX,2024-06-11
280,necochea,-38.5473,-58.7368,11.01,69,42,3.9,AR,2024-06-11
281,gaigeturi,33.4644,126.3183,21.03,78,100,1.54,KR,2024-06-11
